DATE,IRLTLT01CAM156N
1960-01-01,5.54
1960-02-01,5.46
1960-03-01,5.39
1960-04-01,5.29
1960-05-01,5.21
1960-06-01,5.07
1960-07-01,5.08
1960-08-01,4.98
1960-09-01,4.8
1960-10-01,4.96
1960-11-01,5.2
1960-12-01,5.28
1961-01-01,5.27
1961-02-01,5.17
1961-03-01,5.14
1961-04-01,5.21
1961-05-01,5.17
1961-06-01,5.04
1961-07-01,4.95
1961-08-01,4.99
1961-09-01,4.98
1961-10-01,4.97
1961-11-01,4.87
1961-12-01,4.94
1962-01-01,4.96
1962-02-01,4.95
1962-03-01,4.88
1962-04-01,4.81
1962-05-01,4.89
1962-06-01,5.13
1962-07-01,5.41
1962-08-01,5.42
1962-09-01,5.38
1962-10-01,5.19
1962-11-01,5.06
1962-12-01,5.11
1963-01-01,5.1
1963-02-01,5.11
1963-03-01,5.11
1963-04-01,5.01
1963-05-01,4.95
1963-06-01,4.95
1963-07-01,5.06
1963-08-01,5.22
1963-09-01,5.22
1963-10-01,5.07
1963-11-01,5.14
1963-12-01,5.15
1964-01-01,5.17
1964-02-01,5.17
1964-03-01,5.22
1964-04-01,5.24
1964-05-01,5.2
1964-06-01,5.2
1964-07-01,5.21
1964-08-01,5.24
1964-09-01,5.22
1964-10-01,5.19
1964-11-01,5.09
1964-12-01,5.06
1965-01-01,4.98
1965-02-01,5
1965-03-01,5.09
1965-04-01,5.05
1965-05-01,5.08
1965-06-01,5.15
1965-07-01,5.24
1965-08-01,5.3
1965-09-01,5.3
1965-10-01,5.36
1965-11-01,5.42
1965-12-01,5.42
1966-01-01,5.41
1966-02-01,5.54
1966-03-01,5.63
1966-04-01,5.6
1966-05-01,5.6
1966-06-01,5.64
1966-07-01,5.72
1966-08-01,5.88
1966-09-01,5.79
1966-10-01,5.73
1966-11-01,5.82
1966-12-01,5.86
1967-01-01,5.62
1967-02-01,5.57
1967-03-01,5.5
1967-04-01,5.51
1967-05-01,5.72
1967-06-01,5.85
1967-07-01,5.85
1967-08-01,5.92
1967-09-01,6.05
1967-10-01,6.32
1967-11-01,6.39
1967-12-01,6.48
1968-01-01,6.49
1968-02-01,6.69
1968-03-01,6.88
1968-04-01,6.61
1968-05-01,6.81
1968-06-01,6.74
1968-07-01,6.6
1968-08-01,6.45
1968-09-01,6.51
1968-10-01,6.8
1968-11-01,6.93
1968-12-01,7.19
1969-01-01,7.23
1969-02-01,7.16
1969-03-01,7.24
1969-04-01,7.23
1969-05-01,7.38
1969-06-01,7.55
1969-07-01,7.54
1969-08-01,7.51
1969-09-01,7.72
1969-10-01,7.84
1969-11-01,8.03
1969-12-01,8.27
1970-01-01,8.34
1970-02-01,8.21
1970-03-01,8.05
1970-04-01,7.88
1970-05-01,8.18
1970-06-01,8.06
1970-07-01,7.97
1970-08-01,7.99
1970-09-01,7.92
1970-10-01,7.93
1970-11-01,7.8
1970-12-01,7.26
1971-01-01,6.69
1971-02-01,6.81
1971-03-01,6.8
1971-04-01,6.83
1971-05-01,7.19
1971-06-01,7.25
1971-07-01,7.41
1971-08-01,7.34
1971-09-01,7
1971-10-01,6.82
1971-11-01,6.66
1971-12-01,6.54
1972-01-01,6.66
1972-02-01,6.87
1972-03-01,7.07
1972-04-01,7.32
1972-05-01,7.33
1972-06-01,7.39
1972-07-01,7.48
1972-08-01,7.46
1972-09-01,7.48
1972-10-01,7.34
1972-11-01,7.18
1972-12-01,7.12
1973-01-01,7.12
1973-02-01,7.18
1973-03-01,7.3
1973-04-01,7.34
1973-05-01,7.58
1973-06-01,7.76
1973-07-01,7.75
1973-08-01,7.8
1973-09-01,7.82
1973-10-01,7.63
1973-11-01,7.37
1973-12-01,7.69
1974-01-01,7.74
1974-02-01,7.73
1974-03-01,7.92
1974-04-01,8.59
1974-05-01,8.87
1974-06-01,9.26
1974-07-01,9.66
1974-08-01,9.73
1974-09-01,9.76
1974-10-01,9.42
1974-11-01,8.92
1974-12-01,8.84
1975-01-01,8.42
1975-02-01,8.2
1975-03-01,8.26
1975-04-01,8.73
1975-05-01,8.81
1975-06-01,8.8
1975-07-01,9.06
1975-08-01,9.41
1975-09-01,9.7
1975-10-01,9.54
1975-11-01,9.45
1975-12-01,9.54
1976-01-01,9.39
1976-02-01,9.29
1976-03-01,9.47
1976-04-01,9.33
1976-05-01,9.33
1976-06-01,9.32
1976-07-01,9.35
1976-08-01,9.32
1976-09-01,9.14
1976-10-01,9.13
1976-11-01,9.01
1976-12-01,8.67
1977-01-01,8.5
1977-02-01,8.57
1977-03-01,8.76
1977-04-01,8.8
1977-05-01,8.81
1977-06-01,8.74
1977-07-01,8.72
1977-08-01,8.67
1977-09-01,8.57
1977-10-01,8.69
1977-11-01,8.73
1977-12-01,8.76
1978-01-01,8.98
1978-02-01,9.12
1978-03-01,9.15
1978-04-01,9.23
1978-05-01,9.16
1978-06-01,9.23
1978-07-01,9.19
1978-08-01,9.13
1978-09-01,9.16
1978-10-01,9.3
1978-11-01,9.55
1978-12-01,9.63
1979-01-01,9.83
1979-02-01,9.91
1979-03-01,9.92
1979-04-01,9.76
1979-05-01,9.76
1979-06-01,9.74
1979-07-01,9.76
1979-08-01,10.01
1979-09-01,10.29
1979-10-01,10.85
1979-11-01,11.12
1979-12-01,11.2
1980-01-01,11.69
1980-02-01,12.61
1980-03-01,13.22
1980-04-01,12.56
1980-05-01,11.4
1980-06-01,11.28
1980-07-01,11.6
1980-08-01,12.38
1980-09-01,12.59
1980-10-01,12.76
1980-11-01,13.03
1980-12-01,12.94
1981-01-01,12.82
1981-02-01,13.3
1981-03-01,13.37
1981-04-01,14.25
1981-05-01,15.34
1981-06-01,14.76
1981-07-01,15.89
1981-08-01,16.45
1981-09-01,17
1981-10-01,16.76
1981-11-01,14.93
1981-12-01,15
1982-01-01,15.82
1982-02-01,15.66
1982-03-01,14.95
1982-04-01,14.93
1982-05-01,14.7
1982-06-01,15.96
1982-07-01,16.16
1982-08-01,14.96
1982-09-01,13.93
1982-10-01,12.74
1982-11-01,11.77
1982-12-01,11.65
1983-01-01,11.37
1983-02-01,11.43
1983-03-01,11.19
1983-04-01,11.07
1983-05-01,10.71
1983-06-01,11.05
1983-07-01,11.57
1983-08-01,11.79
1983-09-01,11.77
1983-10-01,11.55
1983-11-01,11.52
1983-12-01,11.79
1984-01-01,11.72
1984-02-01,11.87
1984-03-01,12.84
1984-04-01,13.24
1984-05-01,13.64
1984-06-01,13.67
1984-07-01,13.73
1984-08-01,12.91
1984-09-01,12.77
1984-10-01,12.54
1984-11-01,11.93
1984-12-01,11.66
1985-01-01,11.41
1985-02-01,11.86
1985-03-01,12.16
1985-04-01,11.55
1985-05-01,11.07
1985-06-01,10.52
1985-07-01,10.59
1985-08-01,10.6
1985-09-01,10.79
1985-10-01,10.67
1985-11-01,10.02
1985-12-01,9.72
1986-01-01,10.04
1986-02-01,9.97
1986-03-01,9.4
1986-04-01,8.85
1986-05-01,8.93
1986-06-01,9.12
1986-07-01,8.87
1986-08-01,8.83
1986-09-01,9.0
1986-10-01,9.17
1986-11-01,8.9
1986-12-01,8.67
1987-01-01,8.33
1987-02-01,8.46
1987-03-01,8.28
1987-04-01,8.83
1987-05-01,9.59
1987-06-01,9.33
1987-07-01,9.57
1987-08-01,10.1
1987-09-01,10.72
1987-10-01,10.44
1987-11-01,9.88
1987-12-01,10.12
1988-01-01,9.72
1988-02-01,9.2
1988-03-01,9.42
1988-04-01,9.69
1988-05-01,9.94
1988-06-01,9.72
1988-07-01,9.9
1988-08-01,10.24
1988-09-01,10.15
1988-10-01,9.85
1988-11-01,10.02
1988-12-01,10.12
1989-01-01,10.14
1989-02-01,10.19
1989-03-01,10.56
1989-04-01,10.32
1989-05-01,9.91
1989-06-01,9.43
1989-07-01,9.34
1989-08-01,9.32
1989-09-01,9.55
1989-10-01,9.53
1989-11-01,9.49
1989-12-01,9.59
1990-01-01,9.75
1990-02-01,10.19
1990-03-01,10.74
1990-04-01,11.35
1990-05-01,11.32
1990-06-01,10.76
1990-07-01,10.67
1990-08-01,10.64
1990-09-01,10.8
1990-10-01,11.27
1990-11-01,10.71
1990-12-01,10.31
1991-01-01,10.21
1991-02-01,9.68
1991-03-01,9.63
1991-04-01,9.5
1991-05-01,9.57
1991-06-01,9.82
1991-07-01,10.01
1991-08-01,9.77
1991-09-01,9.58
1991-10-01,9.12
1991-11-01,8.62
1991-12-01,8.53
1992-01-01,8.13
1992-02-01,8.35
1992-03-01,8.63
1992-04-01,8.76
1992-05-01,8.64
1992-06-01,8.34
1992-07-01,7.92
1992-08-01,7.3
1992-09-01,7.41
1992-10-01,7.77
1992-11-01,7.73
1992-12-01,7.87
1993-01-01,7.93
1993-02-01,7.84
1993-03-01,7.44
1993-04-01,7.46
1993-05-01,7.56
1993-06-01,7.47
1993-07-01,7.25
1993-08-01,7.09
1993-09-01,6.82
1993-10-01,6.82
1993-11-01,6.82
1993-12-01,6.75
1994-01-01,6.52
1994-02-01,6.54
1994-03-01,7.25
1994-04-01,8.06
1994-05-01,8.29
1994-06-01,8.83
1994-07-01,9.11
1994-08-01,8.98
1994-09-01,8.9
1994-10-01,9.02
1994-11-01,9.15
1994-12-01,9.07
1995-01-01,9.35
1995-02-01,8.9
1995-03-01,8.64
1995-04-01,8.42
1995-05-01,8.06
1995-06-01,7.86
1995-07-01,8.08
1995-08-01,8.26
1995-09-01,7.93
1995-10-01,7.72
1995-11-01,7.47
1995-12-01,7.25
1996-01-01,7.09
1996-02-01,7.24
1996-03-01,7.62
1996-04-01,7.7
1996-05-01,7.77
1996-06-01,7.81
1996-07-01,7.71
1996-08-01,7.31
1996-09-01,7.34
1996-10-01,6.64
1996-11-01,6.14
1996-12-01,6.39
1997-01-01,6.63
1997-02-01,6.3
1997-03-01,6.54
1997-04-01,6.78
1997-05-01,6.57
1997-06-01,6.27
1997-07-01,5.96
1997-08-01,5.99
1997-09-01,5.88
1997-10-01,5.61
1997-11-01,5.5
1997-12-01,5.67
1998-01-01,5.36
1998-02-01,5.43
1998-03-01,5.43
1998-04-01,5.31
1998-05-01,5.39
1998-06-01,5.32
1998-07-01,5.35
1998-08-01,5.57
1998-09-01,5.25
1998-10-01,4.91
1998-11-01,5.17
1998-12-01,4.87
1999-01-01,4.95
1999-02-01,5.12
1999-03-01,5.22
1999-04-01,5.03
1999-05-01,5.36
1999-06-01,5.58
1999-07-01,5.49
1999-08-01,5.76
1999-09-01,5.72
1999-10-01,6.09
1999-11-01,6.03
1999-12-01,6.14
2000-01-01,6.49
2000-02-01,6.34
2000-03-01,6.03
2000-04-01,5.92
2000-05-01,6.22
2000-06-01,5.9
2000-07-01,5.86
2000-08-01,5.77
2000-09-01,5.73
2000-10-01,5.72
2000-11-01,5.73
2000-12-01,5.4
2001-01-01,5.42
2001-02-01,5.43
2001-03-01,5.3
2001-04-01,5.59
2001-05-01,5.85
2001-06-01,5.72
2001-07-01,5.8
2001-08-01,5.53
2001-09-01,5.3
2001-10-01,5.23
2001-11-01,5.18
2001-12-01,5.41
2002-01-01,5.34
2002-02-01,5.32
2002-03-01,5.67
2002-04-01,5.66
2002-05-01,5.6
2002-06-01,5.42
2002-07-01,5.29
2002-08-01,5.12
2002-09-01,4.89
2002-10-01,5.13
2002-11-01,5.09
2002-12-01,4.97
2003-01-01,4.96
2003-02-01,5.01
2003-03-01,5.0
2003-04-01,5.05
2003-05-01,4.67
2003-06-01,4.29
2003-07-01,4.68
2003-08-01,4.9
2003-09-01,4.76
2003-10-01,4.82
2003-11-01,4.86
2003-12-01,4.73
2004-01-01,4.59
2004-02-01,4.45
2004-03-01,4.26
2004-04-01,4.61
2004-05-01,4.77
2004-06-01,4.93
2004-07-01,4.75
2004-08-01,4.63
2004-09-01,4.6
2004-10-01,4.55
2004-11-01,4.48
2004-12-01,4.32
2005-01-01,4.26
2005-02-01,4.21
2005-03-01,4.36
2005-04-01,4.19
2005-05-01,4.07
2005-06-01,3.83
2005-07-01,3.9
2005-08-01,3.92
2005-09-01,3.87
2005-10-01,4.05
2005-11-01,4.11
2005-12-01,4.04
2006-01-01,4.03
2006-02-01,4.17
2006-03-01,4.2
2006-04-01,4.42
2006-05-01,4.4
2006-06-01,4.44
2006-07-01,4.44
2006-08-01,4.25
2006-09-01,4.07
2006-10-01,4.11
2006-11-01,4.0
2006-12-01,3.98
2007-01-01,4.12
2007-02-01,4.12
2007-03-01,4.05
2007-04-01,4.17
2007-05-01,4.29
2007-06-01,4.61
2007-07-01,4.59
2007-08-01,4.43
2007-09-01,4.36
2007-10-01,4.36
2007-11-01,4.12
2007-12-01,4.02
2008-01-01,3.85
2008-02-01,3.83
2008-03-01,3.51
2008-04-01,3.63
2008-05-01,3.62
2008-06-01,3.76
2008-07-01,3.75
2008-08-01,3.59
2008-09-01,3.54
2008-10-01,3.67
2008-11-01,3.57
2008-12-01,2.95
2009-01-01,2.81
2009-02-01,2.96
2009-03-01,2.89
2009-04-01,2.95
2009-05-01,3.2
2009-06-01,3.46
2009-07-01,3.43
2009-08-01,3.46
2009-09-01,3.37
2009-10-01,3.43
2009-11-01,3.39
2009-12-01,3.42
2010-01-01,3.49
2010-02-01,3.42
2010-03-01,3.49
2010-04-01,3.67
2010-05-01,3.45
2010-06-01,3.3
2010-07-01,3.19
2010-08-01,2.95
2010-09-01,2.88
2010-10-01,2.77
2010-11-01,3.02
2010-12-01,3.2
2011-01-01,3.25
2011-02-01,3.42
2011-03-01,3.27
2011-04-01,3.33
2011-05-01,3.15
2011-06-01,2.99
2011-07-01,2.94
2011-08-01,2.45
2011-09-01,2.2
2011-10-01,2.3
2011-11-01,2.12
2011-12-01,1.99
2012-01-01,1.98
2012-02-01,2.02
2012-03-01,2.11
2012-04-01,2.06
2012-05-01,1.92
2012-06-01,1.75
2012-07-01,1.66
2012-08-01,1.83
2012-09-01,1.84
2012-10-01,1.81
2012-11-01,1.74
2012-12-01,1.77
2013-01-01,1.93
2013-02-01,1.97
2013-03-01,1.85
2013-04-01,1.75
2013-05-01,1.9
2013-06-01,2.24
2013-07-01,2.44
2013-08-01,2.61
2013-09-01,2.7
2013-10-01,2.52
2013-11-01,2.56
2013-12-01,2.67
2014-01-01,2.53
2014-02-01,2.42
2014-03-01,2.45
2014-04-01,2.44
2014-05-01,2.32
2014-06-01,2.3
2014-07-01,2.19
2014-08-01,2.06
2014-09-01,2.18
2014-10-01,2.01
2014-11-01,2.0
2014-12-01,1.85
2015-01-01,1.53
2015-02-01,1.38
2015-03-01,1.42
2015-04-01,1.41
2015-05-01,1.74
2015-06-01,1.78
2015-07-01,1.57
2015-08-01,1.39
2015-09-01,1.48
2015-10-01,1.46
2015-11-01,1.63
2015-12-01,1.46
2016-01-01,1.26
2016-02-01,1.12
2016-03-01,1.27
2016-04-01,1.34
2016-05-01,1.35
2016-06-01,1.17
2016-07-01,1.05
2016-08-01,1.04
2016-09-01,1.09
2016-10-01,1.17
2016-11-01,1.43
2016-12-01,1.73
2017-01-01,1.72
2017-02-01,1.7
2017-03-01,1.71
2017-04-01,1.52
